NODE TYPE,NODE NAME,EDGE TYPE,NODE TYPE,NODE NAME,Weight
Airport,Antalya Gazipaşa - Alanya Havalimanı,HAS A FLIGHT TO,Airport,Ankara Esenboğa Havalimanı,1
Airport,Kocaeli Cengiz Topel Havalimanı,HAS A FLIGHT TO,Airport,Trabzon Havalimanı,1
Airport,Iğdır Havalimanı,HAS A FLIGHT TO,Airport,İstanbul Atatürk Havalimanı,1
Airport,Iğdır Havalimanı,HAS A FLIGHT TO,Airport,Ankara Esenboğa Havalimanı,1
Airport,Bingöl Havalimanı,HAS A FLIGHT TO,Airport,Ankara Esenboğa Havalimanı,1
Airport,Zafer Havalimanı,HAS A FLIGHT TO,Airport,İstanbul Atatürk Havalimanı,1
Airport,Kastamonu Havalimanı,HAS A FLIGHT TO,Airport,İstanbul Atatürk Havalimanı,1
Airport,Muğla Dalaman Havalimanı,HAS A FLIGHT TO,Airport,İstanbul Sabiha Gökçen Havalimanı,1
Airport,Muğla Dalaman Havalimanı,HAS A FLIGHT TO,Airport,İstanbul Atatürk Havalimanı,1
Airport,Muğla Dalaman Havalimanı,HAS A FLIGHT TO,Airport,Ankara Esenboğa Havalimanı,1
Airport,Şırnak Şerafettin Elçi Havalimanı,HAS A FLIGHT TO,Airport,İstanbul Sabiha Gökçen Havalimanı,1
Airport,Şırnak Şerafettin Elçi Havalimanı,HAS A FLIGHT TO,Airport,Ankara Esenboğa Havalimanı,1
Airport,Şırnak Şerafettin Elçi Havalimanı,HAS A FLIGHT TO,Airport,İstanbul Atatürk Havalimanı,1
Airport,Muğla Milas - Bodrum Havalimanı,HAS A FLIGHT TO,Airport,İstanbul Atatürk Havalimanı,1
Airport,Muğla Milas - Bodrum Havalimanı,HAS A FLIGHT TO,Airport,İstanbul Sabiha Gökçen Havalimanı,1
Airport,Muğla Milas - Bodrum Havalimanı,HAS A FLIGHT TO,Airport,Ankara Esenboğa Havalimanı,1
Airport,Adana Havalimanı,HAS A FLIGHT TO,Airport,İstanbul Sabiha Gökçen Havalimanı,1
